Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Customer Segment
AP-10915,98,10,3323.556,3,5,4,354,Regular Customer,Loyal Customer
AR-10345,111,4,1055.694,2,1,2,212,At Risk,Lost Customer
AR-10405,125,5,2236.128,2,2,3,223,At Risk,Potential Loyalist
AR-10510,14,5,264.86400000000003,5,2,1,521,Potential Loyalist,New Customer
AR-10540,6,6,6608.448,5,3,5,535,Potential Loyalist,Loyal Customer
AR-10570,534,1,88.15,1,1,1,111,At Risk,Lost Customer
AR-10825,58,8,4523.336,3,4,5,345,Regular Customer,Loyal Customer
AS-10045,88,7,3050.692,3,3,4,334,Regular Customer,Loyal Customer
AS-10090,28,9,3255.31,4,5,4,454,Potential Loyalist,High Value Customer
AS-10135,41,2,58.82,4,1,1,411,Potential Loyalist,New Customer
AS-10225,22,5,4260.784,5,2,4,524,Potential Loyalist,Potential Loyalist
AS-10240,192,7,584.6080000000001,2,3,1,231,At Risk,Potential Loyalist
AS-10285,19,6,3214.236,5,3,4,534,Potential Loyalist,Loyal Customer
AS-10630,92,7,833.398,3,3,1,331,Regular Customer,Potential Loyalist
AT-10435,21,6,1171.814,5,3,2,532,Potential Loyalist,Potential Loyalist
AT-10735,13,10,3831.864,5,5,4,554,Potential Loyalist,High Value Customer
AW-10840,20,4,649.376,5,1,1,511,Potential Loyalist,New Customer
AW-10930,46,7,2852.968,4,3,4,434,Potential Loyalist,Loyal Customer
AY-10555,14,4,497.014,5,1,1,511,Potential Loyalist,New Customer
AZ-10750,160,6,1622.0179999999998,2,3,2,232,At Risk,Potential Loyalist
BB-10990,105,5,744.3399999999999,2,2,1,221,At Risk,Lost Customer
BB-11545,28,9,6765.728,4,5,5,455,Potential Loyalist,High Value Customer
BC-11125,202,9,2933.676,2,5,4,254,At Risk,At Risk Customer
BD-11320,33,12,5718.521,4,5,5,455,Potential Loyalist,High Value Customer
BD-11500,35,6,4411.2429999999995,4,3,5,435,Potential Loyalist,Loyal Customer
BD-11560,278,2,320.54,1,1,1,111,At Risk,Lost Customer
BD-11605,97,7,3288.471,3,3,4,334,Regular Customer,Loyal Customer
BD-11620,69,6,1538.11,3,3,2,332,Regular Customer,Potential Loyalist
BD-11635,9,3,582.646,5,1,1,511,Potential Loyalist,New Customer
BD-11725,93,6,1526.5,3,3,2,332,Regular Customer,Potential Loyalist
BD-11770,327,6,658.466,1,3,1,131,At Risk,Potential Loyalist
BE-11335,119,5,4204.676,2,2,4,224,At Risk,Potential Loyalist
BE-11410,98,5,2261.438,3,2,3,323,Regular Customer,Potential Loyalist
BE-11455,254,6,1727.652,1,3,2,132,At Risk,Potential Loyalist
BF-10975,91,7,599.798,3,3,1,331,Regular Customer,Potential Loyalist
BF-11005,39,4,1333.88,4,1,2,412,Potential Loyalist,New Customer
BF-11020,74,8,2888.506,3,4,4,344,Regular Customer,Loyal Customer
BF-11080,25,3,272.95,5,1,1,511,Potential Loyalist,New Customer
BF-11170,16,11,5907.972,5,5,5,555,High Value Customer,High Value Customer
BF-11215,65,4,1585.162,3,1,2,312,Regular Customer,Potential Loyalist
BF-11275,57,3,791.9899999999999,3,1,1,311,Regular Customer,Potential Loyalist
BG-11035,28,8,2798.948,4,4,4,444,Potential Loyalist,High Value Customer
BG-11695,36,6,1874.172,4,3,3,433,Potential Loyalist,Loyal Customer
BG-11740,57,6,1006.356,3,3,2,332,Regular Customer,Potential Loyalist
BH-11710,23,8,6255.351,5,4,5,545,Potential Loyalist,High Value Customer
BK-11260,77,6,659.1379999999999,3,3,1,331,Regular Customer,Potential Loyalist
BM-11140,307,4,11789.63,1,1,5,115,At Risk,Potential Loyalist
BM-11575,100,6,808.162,3,3,1,331,Regular Customer,Potential Loyalist
BM-11650,33,11,7294.185,4,5,5,455,Potential Loyalist,High Value Customer
BM-11785,218,10,1338.842,2,5,2,252,At Risk,Potential Loyalist
BN-11470,24,4,265.296,5,1,1,511,Potential Loyalist,New Customer
BN-11515,9,5,1459.344,5,2,2,522,Potential Loyalist,New Customer
BO-11350,137,5,2682.728,2,2,3,223,At Risk,Potential Loyalist
BO-11425,75,2,130.83,3,1,1,311,Regular Customer,Potential Loyalist
BP-11050,83,5,983.42,3,2,2,322,Regular Customer,Potential Loyalist
BP-11095,17,12,2442.044,5,5,3,553,Potential Loyalist,Loyal Customer
BP-11155,89,6,1697.8609999999999,3,3,2,332,Regular Customer,Potential Loyalist
BP-11185,1,9,3675.861,5,5,4,554,Potential Loyalist,High Value Customer
BP-11230,39,5,1181.49,4,2,2,422,Potential Loyalist,New Customer
BP-11290,12,7,2475.157,5,3,3,533,Potential Loyalist,Loyal Customer
BS-11365,558,5,10501.653,1,2,5,125,At Risk,Potential Loyalist
BS-11380,28,5,3887.834,4,2,4,424,Potential Loyalist,Potential Loyalist
BS-11590,35,6,2454.928,4,3,3,433,Potential Loyalist,Loyal Customer
BS-11665,582,3,3288.1099999999997,1,1,4,114,At Risk,Potential Loyalist
BS-11755,1,7,2562.382,5,3,3,533,Potential Loyalist,Loyal Customer
BS-11800,265,2,949.4300000000001,1,1,1,111,At Risk,Lost Customer
BT-11305,336,5,2567.656,1,2,3,123,At Risk,Potential Loyalist
BT-11395,302,6,2186.6130000000003,1,3,3,133,At Risk,At Risk Customer
BT-11440,560,4,603.876,1,1,1,111,At Risk,Lost Customer
BT-11485,659,2,415.19599999999997,1,1,1,111,At Risk,Lost Customer
BT-11530,91,5,2684.4919999999997,3,2,3,323,Regular Customer,Potential Loyalist
BT-11680,20,7,3196.752,5,3,4,534,Potential Loyalist,Loyal Customer
BV-11245,334,5,1523.2730000000001,1,2,2,122,At Risk,Lost Customer
BW-11065,212,3,385.516,2,1,1,211,At Risk,Lost Customer
BW-11110,121,8,4750.358,2,4,5,245,At Risk,At Risk Customer
BW-11200,203,6,1738.406,2,3,2,232,At Risk,Potential Loyalist
CA-11965,96,6,3789.7228,3,3,4,334,Regular Customer,Loyal Customer
CA-12055,401,5,1679.7240000000002,1,2,2,122,At Risk,Lost Customer
CA-12265,56,9,2648.2872,3,5,3,353,Regular Customer,Loyal Customer
CA-12310,13,4,1421.954,5,1,2,512,Potential Loyalist,New Customer
CA-12775,120,7,3041.566,2,3,4,234,At Risk,At Risk Customer
CB-12025,47,10,6076.139,4,5,5,455,Potential Loyalist,High Value Customer
CB-12415,26,8,1949.2,5,4,3,543,Potential Loyalist,Loyal Customer
CB-12535,197,8,4246.4555,2,4,4,244,At Risk,At Risk Customer
CC-12100,457,6,1770.945,1,3,3,133,At Risk,At Risk Customer
CC-12145,106,7,2471.65,2,3,3,233,At Risk,At Risk Customer
CC-12220,20,12,3913.418,5,5,4,554,Potential Loyalist,High Value Customer
CC-12370,43,5,12129.072000000002,4,2,5,425,Potential Loyalist,Potential Loyalist
CC-12430,0,10,2870.05,5,5,4,554,Potential Loyalist,High Value Customer
CC-12475,39,9,1659.438,4,5,2,452,Potential Loyalist,Potential Loyalist
CC-12550,27,3,113.832,4,1,1,411,Potential Loyalist,New Customer
CC-12610,34,7,2540.631,4,3,3,433,Potential Loyalist,Loyal Customer
CC-12670,29,7,2269.7015,4,3,3,433,Potential Loyalist,Loyal Customer
CC-12685,799,4,2854.1150000000002,1,1,4,114,At Risk,Potential Loyalist
CD-11920,40,5,2033.968,4,2,3,423,Potential Loyalist,Potential Loyalist
CD-11980,54,3,639.766,3,1,1,311,Regular Customer,Potential Loyalist
CD-12280,42,2,1205.584,4,1,2,412,Potential Loyalist,New Customer
CD-12790,399,5,1860.732,1,2,3,123,At Risk,Potential Loyalist
CG-12040,49,6,904.4680000000001,4,3,1,431,Potential Loyalist,Potential Loyalist
CG-12520,338,3,1148.7800000000002,1,1,2,112,At Risk,Lost Customer
CH-12070,691,3,1537.236,1,1,2,112,At Risk,Lost Customer
CJ-11875,365,1,16.52,1,1,1,111,At Risk,Lost Customer
CJ-12010,189,8,11164.974,2,4,5,245,At Risk,At Risk Customer
CK-12205,39,13,3154.855,4,5,4,454,Potential Loyalist,High Value Customer
CK-12325,120,5,2945.321,2,2,4,224,At Risk,Potential Loyalist
CK-12595,43,11,2372.75,4,5,3,453,Potential Loyalist,Loyal Customer
CK-12760,82,9,1582.109,3,5,2,352,Regular Customer,Potential Loyalist
CL-11890,106,4,1262.0140000000001,2,1,2,212,At Risk,Lost Customer
CL-12565,284,12,10880.546,1,5,5,155,At Risk,At Risk Customer
CL-12700,105,5,2353.586,2,2,3,223,At Risk,Potential Loyalist
CM-11815,131,6,1673.888,2,3,2,232,At Risk,Potential Loyalist
CM-11935,708,2,565.392,1,1,1,111,At Risk,Lost Customer
CM-12115,8,4,1661.6100000000001,5,1,2,512,Potential Loyalist,New Customer
CM-12160,26,6,2533.314,5,3,3,533,Potential Loyalist,Loyal Customer
CM-12190,8,6,1475.144,5,3,2,532,Potential Loyalist,Potential Loyalist
CM-12235,385,5,2305.712,1,2,3,123,At Risk,Potential Loyalist
CM-12385,37,4,8954.019999999999,4,1,5,415,Potential Loyalist,Potential Loyalist
CM-12445,436,3,287.99,1,1,1,111,At Risk,Lost Customer
CM-12655,27,6,6339.5576,4,3,5,435,Potential Loyalist,Loyal Customer
CM-12715,1035,4,3984.4524,1,1,4,114,At Risk,Potential Loyalist
CP-12085,82,8,5402.254,3,4,5,345,Regular Customer,Loyal Customer
CP-12340,160,8,5888.275,2,4,5,245,At Risk,At Risk Customer
CR-12580,57,4,2148.852,3,1,3,313,Regular Customer,Potential Loyalist
CR-12625,470,3,475.9,1,1,1,111,At Risk,Lost Customer
CR-12730,78,4,1600.55,3,1,2,312,Regular Customer,Potential Loyalist
CR-12820,85,3,1397.8724,3,1,2,312,Regular Customer,Potential Loyalist
CS-11845,91,5,1278.954,3,2,2,322,Regular Customer,Potential Loyalist
CS-11860,162,6,537.632,2,3,1,231,At Risk,Potential Loyalist
CS-11950,25,11,3036.547,5,5,4,554,Potential Loyalist,High Value Customer
CS-12130,489,4,884.64,1,1,1,111,At Risk,Lost Customer
CS-12175,232,5,844.4580000000001,1,2,1,121,At Risk,Lost Customer
CS-12250,26,12,2754.216,5,5,4,554,Potential Loyalist,High Value Customer
CS-12355,6,11,3202.1620000000003,5,5,4,554,Potential Loyalist,High Value Customer
CS-12400,2,9,3651.8585000000003,5,5,4,554,Potential Loyalist,High Value Customer
CS-12460,27,2,550.644,4,1,1,411,Potential Loyalist,New Customer
CS-12490,424,4,1077.2285,1,1,2,112,At Risk,Lost Customer
CS-12505,58,6,5690.054999999999,3,3,5,335,Regular Customer,Loyal Customer
CT-11995,96,8,3241.898,3,4,4,344,Regular Customer,Loyal Customer
CV-12295,254,5,2830.6279999999997,1,2,4,124,At Risk,Potential Loyalist
CV-12805,5,9,2370.3136,5,5,3,553,Potential Loyalist,Loyal Customer
CW-11905,22,6,1136.592,5,3,2,532,Potential Loyalist,Potential Loyalist
CY-12745,60,8,2900.026,3,4,4,344,Regular Customer,Loyal Customer
Co-12640,549,5,1300.076,1,2,2,122,At Risk,Lost Customer
DA-13450,352,4,156.76,1,1,1,111,At Risk,Lost Customer
DB-12910,21,8,2171.599,5,4,3,543,Potential Loyalist,Loyal Customer
DB-12970,241,5,2839.2272,1,2,4,124,At Risk,Potential Loyalist
DB-13060,16,7,4531.646,5,3,5,535,Potential Loyalist,Loyal Customer
DB-13120,48,7,2973.094,4,3,4,434,Potential Loyalist,Loyal Customer
DB-13210,9,10,2332.577,5,5,3,553,Potential Loyalist,Loyal Customer
DB-13270,53,8,4655.897,4,4,5,445,Potential Loyalist,High Value Customer
DB-13360,264,5,1081.466,1,2,2,122,At Risk,Lost Customer
DB-13405,187,4,1711.692,2,1,2,212,At Risk,Lost Customer
DB-13555,107,7,3908.8028,2,3,4,234,At Risk,At Risk Customer
DB-13615,33,7,1989.05,4,3,3,433,Potential Loyalist,Loyal Customer
DB-13660,12,7,1155.202,5,3,2,532,Potential Loyalist,Potential Loyalist
DC-12850,37,9,3336.168,4,5,4,454,Potential Loyalist,High Value Customer
DC-13285,23,5,1174.618,5,2,2,522,Potential Loyalist,New Customer
DD-13570,41,6,269.542,4,3,1,431,Potential Loyalist,Potential Loyalist
DE-13255,719,5,2550.874,1,2,3,123,At Risk,Potential Loyalist
DF-13135,700,3,2390.534,1,1,3,113,At Risk,Potential Loyalist
DG-13300,32,5,3195.818,4,2,4,424,Potential Loyalist,Potential Loyalist
DH-13075,277,6,4932.872,1,3,5,135,At Risk,At Risk Customer
DH-13675,776,4,1043.096,1,1,2,112,At Risk,Lost Customer
DJ-13420,637,4,2012.52,1,1,3,113,At Risk,Potential Loyalist
DJ-13510,48,8,2501.6879999999996,4,4,3,443,Potential Loyalist,Loyal Customer
DJ-13630,12,3,3356.398,5,1,4,514,Potential Loyalist,Potential Loyalist
DK-12835,21,12,3256.48,5,5,4,554,Potential Loyalist,High Value Customer
DK-12895,45,5,4282.176,4,2,4,424,Potential Loyalist,Potential Loyalist
DK-12985,7,5,1687.04,5,2,2,522,Potential Loyalist,New Customer
DK-13090,42,7,2650.557,4,3,3,433,Potential Loyalist,Loyal Customer
DK-13150,10,2,797.832,5,1,1,511,Potential Loyalist,New Customer
DK-13225,10,9,4802.394,5,5,5,555,High Value Customer,High Value Customer
DK-13375,19,8,3318.486,5,4,4,544,Potential Loyalist,High Value Customer
DL-12865,100,8,1503.112,3,4,2,342,Regular Customer,Potential Loyalist
DL-12925,57,6,3272.2,3,3,4,334,Regular Customer,Loyal Customer
DL-13315,22,8,1458.258,5,4,2,542,Potential Loyalist,Potential Loyalist
DL-13330,57,4,585.02,3,1,1,311,Regular Customer,Potential Loyalist
DL-13495,76,8,3539.322,3,4,4,344,Regular Customer,Loyal Customer
DM-12955,114,7,1322.034,2,3,2,232,At Risk,Potential Loyalist
DM-13015,57,7,6345.103,3,3,5,335,Regular Customer,Loyal Customer
DM-13345,22,8,4074.4719999999998,5,4,4,544,Potential Loyalist,High Value Customer
DM-13525,481,3,1376.792,1,1,2,112,At Risk,Lost Customer
DN-13690,217,7,2139.79,2,3,3,233,At Risk,At Risk Customer
DO-13435,133,9,1300.0315,2,5,2,252,At Risk,Potential Loyalist
DO-13645,26,7,1267.316,5,3,2,532,Potential Loyalist,Potential Loyalist
DP-13000,126,9,1050.636,2,5,2,252,At Risk,Potential Loyalist
DP-13105,6,8,2215.002,5,4,3,543,Potential Loyalist,Loyal Customer
DP-13165,812,2,1058.616,1,1,2,112,At Risk,Lost Customer
DP-13390,358,9,5480.723999999999,1,5,5,155,At Risk,At Risk Customer
DR-12880,3,9,6528.034000000001,5,5,5,555,High Value Customer,High Value Customer
DR-12940,50,8,8350.868,4,4,5,445,Potential Loyalist,High Value Customer
DS-13030,93,4,1762.213,3,1,3,313,Regular Customer,Potential Loyalist
DS-13180,23,9,2881.8128,5,5,4,554,Potential Loyalist,High Value Customer
DV-13045,19,5,1119.483,5,2,2,522,Potential Loyalist,New Customer
DV-13465,29,6,3341.587,4,3,4,434,Potential Loyalist,Loyal Customer
DW-13195,69,6,1080.751,3,3,2,332,Regular Customer,Potential Loyalist
DW-13480,217,5,5271.628,2,2,5,225,At Risk,Potential Loyalist
DW-13540,98,5,344.08,3,2,1,321,Regular Customer,Potential Loyalist
DW-13585,242,7,1204.854,1,3,2,132,At Risk,Potential Loyalist
Dl-13600,119,5,755.602,2,2,1,221,At Risk,Lost Customer
Dp-13240,84,11,7198.7609999999995,3,5,5,355,Regular Customer,Loyal Customer
EA-14035,152,13,2846.705,2,5,4,254,At Risk,At Risk Customer
EB-13705,48,9,3644.978,4,5,4,454,Potential Loyalist,High Value Customer
EB-13750,35,10,3236.314,4,5,4,454,Potential Loyalist,High Value Customer
EB-13840,90,5,4358.128,3,2,5,325,Regular Customer,Potential Loyalist
EB-13870,100,10,2767.219,3,5,4,354,Regular Customer,Loyal Customer
EB-13930,161,5,944.6000000000001,2,2,1,221,At Risk,Lost Customer
EB-13975,0,4,1643.255,5,1,2,512,Potential Loyalist,New Customer
EB-14110,113,6,3071.126,2,3,4,234,At Risk,At Risk Customer
EB-14170,82,6,1186.326,3,3,2,332,Regular Customer,Potential Loyalist
EC-14050,53,5,461.914,4,2,1,421,Potential Loyalist,New Customer
ED-13885,135,8,3484.92,2,4,4,244,At Risk,At Risk Customer
EG-13900,22,5,1832.02,5,2,3,523,Potential Loyalist,Potential Loyalist
EH-13765,135,12,10310.880000000001,2,5,5,255,At Risk,At Risk Customer
EH-13945,217,8,684.1709999999999,2,4,1,241,At Risk,Potential Loyalist
EH-13990,405,6,825.9499999999999,1,3,1,131,At Risk,Potential Loyalist
EH-14005,2,7,1219.53,5,3,2,532,Potential Loyalist,Potential Loyalist
EH-14125,152,10,3082.653,2,5,4,254,At Risk,At Risk Customer
EH-14185,105,6,923.884,2,3,1,231,At Risk,Potential Loyalist
EJ-13720,302,4,2162.174,1,1,3,113,At Risk,Potential Loyalist
EJ-14155,57,5,2656.691,3,2,3,323,Regular Customer,Potential Loyalist
EK-13795,44,4,1303.478,4,1,2,412,Potential Loyalist,New Customer
EL-13735,77,2,124.28,3,1,1,311,Regular Customer,Potential Loyalist
EM-13810,132,5,2567.0099999999998,2,2,3,223,At Risk,Potential Loyalist
EM-13825,55,8,2339.598,3,4,3,343,Regular Customer,Loyal Customer
EM-13960,151,5,933.704,2,2,1,221,At Risk,Lost Customer
EM-14065,47,4,228.99,4,1,1,411,Potential Loyalist,New Customer
EM-14095,113,4,1041.0420000000001,2,1,2,212,At Risk,Lost Customer
EM-14140,48,6,4588.436000000001,4,3,5,435,Potential Loyalist,Loyal Customer
EM-14200,158,3,366.822,2,1,1,211,At Risk,Lost Customer
EN-13780,287,4,2199.366,1,1,3,113,At Risk,Potential Loyalist
EP-13915,12,17,5478.0608,5,5,5,555,High Value Customer,High Value Customer
ER-13855,421,3,1245.788,1,1,2,112,At Risk,Lost Customer
ES-14020,40,5,3510.4579999999996,4,2,4,424,Potential Loyalist,Potential Loyalist
ES-14080,28,9,4657.924,4,5,5,455,Potential Loyalist,High Value Customer
FA-14230,97,7,2984.054,3,3,4,334,Regular Customer,Loyal Customer
FC-14245,70,7,3418.742,3,3,4,334,Regular Customer,Loyal Customer
FC-14335,184,7,3889.366,2,3,4,234,At Risk,At Risk Customer
FG-14260,34,7,1383.144,4,3,2,432,Potential Loyalist,Potential Loyalist
FH-14275,37,10,4256.272,4,5,4,454,Potential Loyalist,High Value Customer
FH-14350,212,4,2271.284,2,1,3,213,At Risk,Potential Loyalist
FH-14365,5,8,6987.196,5,4,5,545,Potential Loyalist,High Value Customer
FM-14215,7,10,2456.638,5,5,3,553,Potential Loyalist,Loyal Customer
FM-14290,36,9,3736.198,4,5,4,454,Potential Loyalist,High Value Customer
FM-14380,145,9,2523.266,2,5,3,253,At Risk,At Risk Customer
FO-14305,38,10,2678.438,4,5,3,453,Potential Loyalist,Loyal Customer
FP-14320,23,8,4046.746,5,4,4,544,Potential Loyalist,High Value Customer
FW-14395,362,3,79.75,1,1,1,111,At Risk,Lost Customer
GA-14515,149,8,3919.7760000000003,2,4,4,244,At Risk,At Risk Customer
GA-14725,5,11,1398.382,5,5,2,552,Potential Loyalist,Potential Loyalist
GB-14530,62,11,1568.44,3,5,2,352,Regular Customer,Potential Loyalist
GB-14575,13,5,4716.288,5,2,5,525,Potential Loyalist,Potential Loyalist
GD-14590,5,4,1888.07,5,1,3,513,Potential Loyalist,Potential Loyalist
GG-14650,43,9,2224.0,4,5,3,453,Potential Loyalist,Loyal Customer
GH-14410,75,9,2819.4669999999996,3,5,4,354,Regular Customer,Loyal Customer
GH-14425,50,4,4172.8460000000005,4,1,4,414,Potential Loyalist,Potential Loyalist
GH-14485,387,2,1361.2440000000001,1,1,2,112,At Risk,Lost Customer
GH-14665,2,2,146.94080000000002,5,1,1,511,Potential Loyalist,New Customer
GK-14620,112,9,6497.27,2,5,5,255,At Risk,At Risk Customer
GM-14440,83,7,3582.8199999999997,3,3,4,334,Regular Customer,Loyal Customer
GM-14455,16,6,3078.624,5,3,4,534,Potential Loyalist,Loyal Customer
GM-14500,106,10,1255.682,2,5,2,252,At Risk,Potential Loyalist
GM-14680,152,6,3163.628,2,3,4,234,At Risk,At Risk Customer
GM-14695,117,3,6049.966,2,1,5,215,At Risk,Potential Loyalist
GP-14740,765,2,236.53,1,1,1,111,At Risk,Lost Customer
GR-14560,1135,2,1284.38,1,1,2,112,At Risk,Lost Customer
GT-14635,56,3,9351.212,3,1,5,315,Regular Customer,Potential Loyalist
GT-14710,36,11,11820.119999999999,4,5,5,455,Potential Loyalist,High Value Customer
GT-14755,34,4,226.436,4,1,1,411,Potential Loyalist,New Customer
GW-14605,28,7,2189.019,4,3,3,433,Potential Loyalist,Loyal Customer
GZ-14470,7,9,4355.150000000001,5,5,5,555,High Value Customer,High Value Customer
GZ-14545,157,4,2454.6220000000003,2,1,3,213,At Risk,Potential Loyalist
HA-14905,69,7,2163.3,3,3,3,333,Regular Customer,Loyal Customer
HA-14920,20,8,2584.158,5,4,3,543,Potential Loyalist,Loyal Customer
HD-14785,769,3,251.36,1,1,1,111,At Risk,Lost Customer
HE-14800,12,4,883.5319999999999,5,1,1,511,Potential Loyalist,New Customer
HF-14995,21,7,2533.1639999999998,5,4,3,543,Potential Loyalist,Loyal Customer
HG-14845,54,5,785.628,3,2,1,321,Regular Customer,Potential Loyalist
HG-14965,23,12,3247.642,5,5,4,554,Potential Loyalist,High Value Customer
HG-15025,6,7,3690.284,5,4,4,544,Potential Loyalist,High Value Customer
HH-15010,72,2,218.668,3,1,1,311,Regular Customer,Potential Loyalist
HJ-14875,126,5,358.1,2,2,1,221,At Risk,Lost Customer
HK-14890,151,8,4877.784,2,4,5,245,At Risk,At Risk Customer
HL-15040,43,6,12873.297999999999,4,3,5,435,Potential Loyalist,Loyal Customer
HM-14860,2,10,8236.7648,5,5,5,555,High Value Customer,High Value Customer
HM-14980,247,4,736.276,1,1,1,111,At Risk,Lost Customer
HP-14815,30,7,1990.314,4,4,3,443,Potential Loyalist,Loyal Customer
HR-14770,13,5,1299.288,5,2,2,522,Potential Loyalist,New Customer
HR-14830,159,7,5248.787,2,4,5,245,At Risk,At Risk Customer
HW-14935,117,8,9300.254,2,4,5,245,At Risk,At Risk Customer
HZ-14950,35,5,886.52,4,2,1,421,Potential Loyalist,New Customer
IG-15085,71,4,744.574,3,1,1,311,Regular Customer,Potential Loyalist
IL-15100,142,7,5040.736,2,4,5,245,At Risk,At Risk Customer
IM-15055,409,3,2872.63,1,1,4,114,At Risk,Potential Loyalist
IM-15070,390,7,4930.474,1,4,5,145,At Risk,At Risk Customer
JA-15970,92,8,6491.026,3,4,5,345,Regular Customer,Loyal Customer
JB-15400,7,10,1791.605,5,5,3,553,Potential Loyalist,Loyal Customer
JB-15925,737,3,900.552,1,1,1,111,At Risk,Lost Customer
JB-16000,43,7,644.1188,4,4,1,441,Potential Loyalist,Potential Loyalist
JB-16045,7,5,2518.115,5,2,3,523,Potential Loyalist,Potential Loyalist
JC-15340,114,4,71.263,2,1,1,211,At Risk,Lost Customer
JC-15385,175,1,1058.108,2,1,2,212,At Risk,Lost Customer
JC-15775,158,9,2772.055,2,5,4,254,At Risk,At Risk Customer
JC-16105,57,5,858.576,3,2,1,321,Regular Customer,Potential Loyalist
JD-15790,117,5,2152.352,2,2,3,223,At Risk,Potential Loyalist
JD-15895,394,11,7610.8640000000005,1,5,5,155,At Risk,At Risk Customer
JD-16015,112,6,385.43,2,3,1,231,At Risk,Potential Loyalist
JD-16060,300,3,695.442,1,1,1,111,At Risk,Lost Customer
JD-16150,41,8,8828.0305,4,4,5,445,Potential Loyalist,High Value Customer
JE-15475,193,6,1388.682,2,3,2,232,At Risk,Potential Loyalist
JE-15610,48,7,7754.976,4,4,5,445,Potential Loyalist,High Value Customer
JE-15715,46,10,8697.842999999999,4,5,5,455,Potential Loyalist,High Value Customer
JE-15745,51,13,6760.8150000000005,4,5,5,455,Potential Loyalist,High Value Customer
JE-16165,20,3,2697.248,5,1,3,513,Potential Loyalist,Potential Loyalist
JF-15190,65,7,2279.5860000000002,3,4,3,343,Regular Customer,Loyal Customer
JF-15295,225,5,955.124,1,2,1,121,At Risk,Lost Customer
JF-15355,105,6,1911.844,2,3,3,233,At Risk,At Risk Customer
JF-15415,2,6,2371.448,5,3,3,533,Potential Loyalist,Loyal Customer
